,序号,客队半场得分,客队球衣颜色,赢球平均欧指数,客队名称,本场比赛序号,主队盘路名称,客队盘路名称,盘路,status,平球平均欧指,主队ID,比赛时间,澳门盘口,输球平均欧指,主队本轮排名,主队名称,客队得分,主队得分,主队半场得分,轮次,客队本轮排名
1190,0,lred,2.49,帕尔马,1149,99538,亚特兰大,帕尔马,赢,5,2.91,1308,2005-03-13 22:00,平手,2.76,20,亚特兰大,0,1,0,28,16
1191,0,lblue,1.74,锡耶纳,1294,99539,博洛尼亚,锡耶纳,输,5,3.09,707,2005-03-13 22:00,半球,4.83,8,博洛尼亚,1,1,0,28,19
1192,0,lblue,2.09,利沃诺,1001,99540,布雷西,利沃诺,输,5,2.89,727,2005-03-13 22:00,半球,3.54,18,布雷西亚,3,2,1,28,13
1193,0,lred,2.59,罗马,1032,99541,卡利亚,罗 马,赢,5,2.90,917,2005-03-13 22:00,平手/半球,2.65,11,卡利亚里,0,3,2,28,7
1194,0,lred,1.47,桑普多利亚,468,99545,AC米兰,桑普多,赢半,5,3.60,210,2005-03-13 22:00,半球/一球,6.79,1,AC米兰,0,1,0,28,3
1195,3,lblue,2.16,乌迪内斯,1276,99546,巴勒莫,乌迪内斯,输,5,2.88,645,2005-03-13 22:00,平手/半球,3.39,5,巴勒莫,5,1,0,28,6
1196,2,lblue,1.91,梅西纳,1118,99547,雷吉纳,梅西纳,输,5,2.93,992,2005-03-13 22:00,半球,4.11,10,雷吉纳,2,0,0,28,14
1197,0,lblue,5.72,尤文图斯,1330,99542,切 沃,尤文图斯,输半,5,3.35,1174,2005-03-14 03:30,受半球/一球,1.58,17,切沃,1,0,0,28,2
1198,0,lred,2.45,拉齐奥,964,99985,锡耶纳,拉齐奥,赢,5,2.86,1294,2005-03-20 01:00,平手/半球,2.86,19,锡耶纳,0,1,0,29,14
1199,0,lblue,1.24,雷吉纳,992,99979,尤文图斯,雷吉纳,输,5,4.86,1330,2005-03-20 03:30,球半,10.49,2,尤文图斯,0,1,0,29,11
1200,1,lred,1.92,布雷西亚,727,99977,切 沃,布雷西,赢,5,3.01,1174,2005-03-20 22:00,半球,3.96,17,切沃,1,3,0,29,18
1201,1,lgreen,1.41,佛罗伦萨,803,99978,国际米兰,佛罗伦萨,走盘,5,3.76,846,2005-03-20 22:00,一球,7.53,3,国际米兰,2,3,1,29,15
1202,2,lblue,2.02,卡利亚里,917,99980,利沃诺,卡利亚,输,5,2.92,1001,2005-03-20 22:00,半球,3.73,12,利沃诺,3,3,2,29,9
1203,0,lblue,2.22,博洛尼亚,707,99981,梅西纳,博洛尼亚,输半,5,2.76,1118,2005-03-20 22:00,平手/半球,3.40,13,梅西纳,0,0,0,29,8
1204,2,lblue,2.38,巴勒莫,645,99982,帕尔马,巴勒莫,输半,5,2.84,1149,2005-03-20 22:00,平手/半球,2.99,16,帕尔马,3,3,1,29,6
1205,1,lblue,1.46,亚特兰大,1308,99984,桑普多,亚特兰大,输,5,3.65,468,2005-03-20 22:00,半球/一球,6.81,4,桑普多利亚,2,1,1,29,20
1206,1,lred,1.66,莱切,972,99986,乌迪内斯,莱  切,赢半,5,3.29,1276,2005-03-20 22:00,半球/一球,5.00,5,乌迪内斯,1,2,1,29,10
1207,0,lblue,3.30,AC米兰,210,99983,罗 马,AC米兰,输,5,2.97,1032,2005-03-21 03:30,受平手/半球,2.11,7,罗马,2,0,0,29,2
1208,1,lblue,3.29,国际米兰,846,100274,博洛尼亚,国际米兰,输,5,2.82,707,2005-04-09 23:59,平手,2.26,7,博洛尼亚,1,0,0,30,3
1209,0,lblue,1.21,布雷西亚,727,100279,AC米兰,布雷西,输,5,5.41,210,2005-04-09 23:59,球半,12.24,1,AC米兰,1,1,1,30,19
1210,1,lred,4.73,尤文图斯,1330,100276,佛罗伦萨,尤文图斯,赢,5,3.15,803,2005-04-10 02:30,受半球,1.76,15,佛罗伦萨,3,3,2,30,2
1211,0,lred,2.16,切沃,1174,100273,亚特兰大,切 沃,赢,5,2.99,1308,2005-04-10 21:00,平手/半球,3.35,20,亚特兰大,0,3,2,30,16
1212,0,lgreen,2.35,桑普多利亚,468,100275,卡利亚,桑普多,走盘,5,2.88,917,2005-04-10 21:00,平手,3.07,9,卡利亚里,0,0,0,30,5
1213,0,lred,1.87,利沃诺,1001,100277,拉齐奥,利沃诺,赢,5,3.18,964,2005-04-10 21:00,半球/一球,4.83,14,拉齐奥,1,3,2,30,11
1214,1,lblue,1.93,锡耶纳,1294,100278,莱  切,锡耶纳,输半,5,3.05,972,2005-04-10 21:00,平手/半球,4.02,10,莱切,2,2,1,30,18
1215,0,lred,1.76,梅西纳,1118,100280,巴勒莫,梅西纳,赢,5,3.08,645,2005-04-10 21:00,半球,4.88,6,巴勒莫,1,2,0,30,12
1216,1,lblue,2.10,帕尔马,1149,100281,雷吉纳,帕尔马,输,5,2.85,992,2005-04-10 21:00,平手/半球,3.71,13,雷吉纳,3,1,0,30,17
1217,3,lblue,1.85,罗马,1032,100282,乌迪内斯,罗 马,输,5,3.18,1276,2005-04-10 21:00,半球/一球,4.26,4,乌迪内斯,3,3,2,30,7
1218,0,lblue,2.33,拉齐奥,964,101127,博洛尼亚,拉齐奥,输,5,2.54,707,2005-04-17 01:00,平手/半球,3.48,9,博洛尼亚,2,1,1,31,11
1219,0,lred,2.20,亚特兰大,1308,101128,布雷西,亚特兰大,赢,5,3.01,727,2005-04-17 03:30,平手/半球,3.17,20,布雷西亚,0,1,0,31,19
1220,0,lred,2.30,帕尔马,1149,101136,切 沃,帕尔马,赢,5,2.86,1174,2005-04-17 03:30,平手/半球,3.13,17,切沃,0,2,0,31,15
1221,0,lred,1.37,卡利亚里,917,101129,国际米兰,卡利亚,赢,5,4.02,846,2005-04-17 22:00,一球/球半,7.96,3,国际米兰,0,2,1,31,8
1222,1,lred,1.25,莱切,972,101130,尤文图斯,莱  切,赢,5,4.94,1330,2005-04-17 22:00,球半,9.81,2,尤文图斯,2,5,3,31,10
1223,0,lred,2.41,佛罗伦萨,803,101131,利沃诺,佛罗伦萨,赢,5,2.54,1001,2005-04-17 22:00,平手/半球,3.34,12,利沃诺,0,2,2,31,16
1224,0,lred,2.84,乌迪内斯,1276,101132,梅西纳,乌迪内斯,赢,5,2.77,1118,2005-04-17 22:00,受平手/半球,2.55,13,梅西纳,0,1,0,31,4
1225,0,lblue,1.55,雷吉纳,992,101133,罗 马,雷吉纳,输,5,3.43,1032,2005-04-17 22:00,一球,6.10,7,罗马,2,1,1,31,14
1226,0,lred,2.15,巴勒莫,645,101134,桑普多,巴勒莫,赢,5,2.78,468,2005-04-17 22:00,平手/半球,3.59,5,桑普多利亚,0,1,0,31,6
1227,0,lred,6.14,AC米兰,210,101135,锡耶纳,AC米兰,赢,5,3.45,1294,2005-04-17 22:00,受一球,1.53,18,锡耶纳,1,2,0,31,1
1228,0,lblue,2.26,拉齐奥,964,101429,卡利亚,拉齐奥,输半,5,2.60,917,2005-04-21 22:00,平手/半球,3.53,9,卡利亚里,1,1,0,32,7
1229,0,lblue,1.79,梅西纳,1118,101430,佛罗伦萨,梅西纳,输,5,3.06,803,2005-04-21 22:00,半球/一球,4.58,18,佛罗伦萨,1,1,0,32,11
1230,1,lblue,1.90,国际米兰,846,101431,尤文图斯,国际米兰,输,5,2.99,1330,2005-04-21 22:00,半球,4.26,1,尤文图斯,1,0,0,32,3
1231,1,lblue,2.21,博洛尼亚,707,101432,莱  切,博洛尼亚,输半,5,2.70,972,2005-04-21 22:00,平手/半球,3.53,14,莱切,1,1,1,32,12
1232,0,lblue,1.22,切沃,1174,101433,AC米兰,切 沃,输,5,5.09,210,2005-04-21 22:00,球半,10.92,2,AC米兰,0,1,0,32,15
1233,2,lblue,1.60,布雷西亚,727,101434,巴勒莫,布雷西,输,5,3.29,645,2005-04-21 22:00,半球/一球,5.66,6,巴勒莫,3,3,2,32,19
1234,1,lblue,2.41,桑普多利亚,468,101435,帕尔马,桑普多,输半,5,2.80,1149,2005-04-21 22:00,平手/半球,2.98,17,帕尔马,1,1,1,32,4
1235,0,lblue,1.95,亚特兰大,1308,101436,雷吉纳,亚特兰大,输半,5,3.02,992,2005-04-21 22:00,平手/半球,3.82,13,雷吉纳,0,0,0,32,20
1236,0,lblue,1.63,锡耶纳,1294,101437,罗 马,锡耶纳,输,5,3.28,1032,2005-04-21 22:00,半球/一球,5.36,8,罗马,2,0,0,32,16
1237,0,lblue,1.60,利沃诺,1001,101438,乌迪内斯,利沃诺,输,5,3.27,1276,2005-04-21 22:00,一球,5.65,5,乌迪内斯,1,1,1,32,10
1238,0,lred,2.62,巴勒莫,645,102379,亚特兰大,巴勒莫,赢,5,2.96,1308,2005-04-24 21:00,平手,2.59,20,亚特兰大,0,1,0,33,6
1239,0,lgreen,2.23,佛罗伦萨,803,102380,博洛尼亚,佛罗伦萨,走盘,5,2.72,707,2005-04-24 21:00,平手,3.45,11,博洛尼亚,0,0,0,33,18
1240,0,lred,2.04,雷吉纳,992,102381,布雷西,雷吉纳,赢,5,2.91,727,2005-04-24 21:00,半球,3.68,19,布雷西亚,0,2,0,33,13
1241,0,lblue,1.97,卡利亚里,917,102382,切 沃,卡利亚,输,5,2.94,1174,2005-04-24 21:00,半球/一球,3.88,17,切沃,1,1,1,33,8
1242,0,lblue,3.80,尤文图斯,1330,102383,拉齐奥,尤文图斯,输,5,2.88,964,2005-04-24 21:00,受平手/半球,2.11,7,拉齐奥,1,0,0,33,1
1243,0,lred,2.04,莱切,972,102384,利沃诺,莱  切,赢,5,2.76,1001,2005-04-24 21:00,平手/半球,3.94,9,利沃诺,0,1,0,33,14
1244,0,lred,3.84,国际米兰,846,102385,梅西纳,国际米兰,赢,5,2.83,1118,2005-04-24 21:00,受半球,2.02,10,梅西纳,1,2,0,33,3
1245,0,lred,1.33,帕尔马,1149,102386,AC米兰,帕尔马,赢,5,4.26,210,2005-04-24 21:00,一球/球半,8.50,2,AC米兰,0,3,1,33,16
1246,0,lred,1.86,罗马,1032,102387,桑普多,罗 马,赢,5,3.06,468,2005-04-24 21:00,半球,4.18,4,桑普多利亚,1,2,1,33,12
1247,1,lblue,2.52,乌迪内斯,1276,102388,锡耶纳,乌迪内斯,输,5,2.77,1294,2005-04-24 21:00,平手,2.88,15,锡耶纳,3,2,1,33,5
1248,1,lgreen,,雷吉纳,992,102603,卡利亚,雷吉纳,,5,,917,2005-04-30 23:59,,,10,卡利亚里,1,1,0,34,13
1249,0,lblue,4.41,AC米兰,210,102604,佛罗伦萨,AC米兰,输,5,3.18,803,2005-05-01 02:30,受半球,1.78,17,佛罗伦萨,2,1,1,34,1
1250,0,lred,1.44,锡耶纳,1294,102605,国际米兰,锡耶纳,赢,5,3.75,846,2005-05-01 21:00,一球,7.13,3,国际米兰,0,2,2,34,15
1251,1,lblue,1.29,博洛尼亚,707,102606,尤文图斯,博洛尼亚,输半,5,4.50,1330,2005-05-01 21:00,一球/球半,9.53,2,尤文图斯,1,2,2,34,11
1252,1,lred,2.02,拉齐奥,964,102607,莱  切,拉齐奥,赢,5,3.00,972,2005-05-01 21:00,平手/半球,3.69,14,莱切,3,5,2,34,10
1253,1,lgreen,2.85,桑普多利亚,468,102608,梅西纳,桑普多,走盘,5,2.32,1118,2005-05-01 21:00,平手,3.04,8,梅西纳,2,2,1,34,4
1254,2,lred,1.61,利沃诺,1001,102610,帕尔马,利沃诺,赢,5,3.37,1149,2005-05-01 21:00,一球,5.54,19,帕尔马,4,6,3,34,7
1255,0,lblue,1.65,布雷西亚,727,102611,罗 马,布雷西,输,5,3.34,1032,2005-05-01 21:00,半球/一球,5.06,13,罗马,2,2,1,34,18
1256,1,lred,1.60,亚特兰大,1308,102612,乌迪内斯,亚特兰大,赢半,5,3.45,1276,2005-05-01 21:00,半球/一球,5.29,5,乌迪内斯,1,2,2,34,20
1257,1,lblue,1.80,切沃,1174,102609,巴勒莫,切 沃,输,5,3.13,645,2005-05-02 02:30,半球,4.39,6,巴勒莫,2,2,2,34,18
1258,1,lred,1.94,莱切,972,127391,利沃诺,莱  切,赢,5,3.03,1001,2005-08-27 23:59,半球,3.94,2,利沃诺,1,2,1,1,11
1259,0,lred,2.23,桑普多利亚,468,127392,佛罗伦萨,桑普多,赢,5,2.89,803,2005-08-28 02:30,平手/半球,3.34,16,佛罗伦萨,1,2,2,1,12
1260,0,lred,1.56,恩波利,788,127393,乌迪内斯,恩波利,赢半,5,3.43,1276,2005-08-28 21:00,半球/一球,6.00,8,乌迪内斯,0,1,1,1,15
1261,1,lred,2.20,卡利亚里,917,127394,锡耶纳,卡利亚,赢,5,2.90,1294,2005-08-28 21:00,平手/半球,3.38,9,锡耶纳,1,2,1,1,18
1262,1,lblue,3.79,罗马,1032,127395,雷吉纳,罗 马,输,5,3.03,992,2005-08-28 21:00,受半球,1.99,10,雷吉纳,3,0,0,1,3
1263,1,lgreen,2.50,巴勒莫,645,127396,帕尔马,巴勒莫,走盘,5,2.88,1149,2005-08-28 21:00,平手,2.92,5,帕尔马,1,1,0,1,14
1264,0,lred,9.47,AC米兰,210,127397,阿斯科,AC米兰,赢,5,4.16,556,2005-08-28 21:00,受球半,1.34,13,阿斯科利,1,1,0,1,2
1265,0,lred,1.90,梅西纳,1118,127398,拉齐奥,梅西纳,赢,5,3.07,964,2005-08-28 21:00,半球,4.07,19,拉齐奥,0,1,1,1,4
1266,0,lred,1.17,特雷维索,1230,127399,国际米兰,特雷维,赢,5,5.91,846,2005-08-28 21:00,球半/两球,15.76,17,国际米兰,0,3,1,1,7
1267,0,lblue,1.22,切沃,1174,127400,尤文图斯,切 沃,输,5,5.02,1330,2005-08-29 02:30,球半,11.62,13,尤文图斯,0,1,1,1,12
1268,0,lred,3.77,国际米兰,846,127404,巴勒莫,国际米兰,赢,5,3.02,645,2005-09-10 23:59,受半球,1.97,12,巴勒莫,2,3,1,2,2
1269,1,lred,1.20,锡耶纳,1294,127405,AC米兰,锡耶纳,赢半,5,5.29,210,2005-09-11 02:30,球半/两球,12.57,11,AC米兰,1,3,2,2,6
1270,0,lblue,2.49,利沃诺,1001,127401,特雷维,利沃诺,输,5,2.84,1230,2005-09-11 21:00,平手,2.85,19,特雷维索,1,0,0,2,4
1271,1,lgreen,1.50,雷吉纳,992,127402,桑普多,雷吉纳,走盘,5,3.49,468,2005-09-11 21:00,一球,6.68,15,桑普多利亚,2,3,1,2,20
1272,1,lblue,1.82,乌迪内斯,1276,127403,罗 马,乌迪内斯,输,5,3.12,1032,2005-09-11 21:00,半球/一球,4.25,2,罗马,1,0,0,2,7
1273,2,lgreen,2.61,佛罗伦萨,803,127406,梅西纳,佛罗伦萨,走盘,5,2.85,1118,2005-09-11 21:00,平手,2.71,16,梅西纳,2,2,0,2,5
1274,0,lred,2.23,帕尔马,1149,127408,切 沃,帕尔马,赢,5,2.85,1174,2005-09-11 21:00,平手/半球,3.31,18,切沃,0,1,1,2,10
1275,0,lblue,1.74,阿斯科利,556,127409,莱  切,阿斯科,输,5,3.13,972,2005-09-11 21:00,半球/一球,4.83,13,莱切,0,0,0,2,12
1276,3,lblue,6.98,尤文图斯,1330,127410,恩波利,尤文图斯,输,5,3.61,788,2005-09-11 21:00,受一球,1.46,17,恩波利,4,0,0,2,9
1277,1,lblue,2.24,拉齐奥,964,127407,卡利亚,拉齐奥,输半,5,2.91,917,2005-09-12 02:30,平手/半球,3.20,17,卡利亚里,1,1,1,2,9
1278,0,lred,1.75,恩波利,788,127411,帕尔马,恩波利,赢,5,3.14,1149,2005-09-17 23:59,半球,4.65,17,帕尔马,0,1,1,3,20
1279,0,lred,1.22,莱切,972,127418,国际米兰,莱  切,赢,5,5.09,846,2005-09-18 02:30,球半,11.50,9,国际米兰,0,3,2,3,17
1280,1,lblue,2.30,切沃,1174,127412,雷吉纳,切 沃,输,5,2.84,992,2005-09-18 21:00,平手/半球,3.17,18,雷吉纳,3,1,1,3,12
1281,1,lred,4.16,AC米兰,210,127413,桑普多,AC米兰,赢,5,3.08,468,2005-09-18 21:00,受半球/一球,1.86,11,桑普多利亚,1,2,1,3,4
1282,1,lblue,2.71,巴勒莫,645,127414,锡耶纳,巴勒莫,输,5,2.85,1294,2005-09-18 21:00,平手,2.61,13,锡耶纳,2,1,1,3,5
1283,1,lred,1.56,特雷维索,1230,127416,拉齐奥,特雷维,赢,5,3.37,964,2005-09-18 21:00,半球/一球,6.12,7,拉齐奥,1,3,2,3,19
1284,1,lblue,1.15,阿斯科利,556,127417,尤文图斯,阿斯科,输,5,6.16,1330,2005-09-18 21:00,两球,15.50,1,尤文图斯,1,2,2,3,14
1285,1,lred,2.23,乌迪内斯,1276,127419,佛罗伦萨,乌迪内斯,赢,5,2.88,803,2005-09-18 21:00,平手/半球,3.24,6,佛罗伦萨,2,4,2,3,3
1286,1,lblue,2.11,梅西纳,1118,127420,卡利亚,梅西纳,输半,5,2.89,917,2005-09-18 21:00,平手/半球,3.55,16,卡利亚里,1,1,1,3,15
1287,0,lred,3.16,罗马,1032,127415,利沃诺,罗 马,赢,5,2.98,1001,2005-09-19 02:30,受半球,2.21,7,利沃诺,0,0,0,3,12
1288,0,lgreen,1.46,雷吉纳,992,127421,巴勒莫,雷吉纳,走盘,5,3.60,645,2005-09-22 02:30,一球,7.23,4,巴勒莫,0,1,0,4,18
1289,1,lred,1.55,帕尔马,1149,127422,罗 马,帕尔马,赢,5,3.41,1032,2005-09-22 02:30,一球,5.96,10,罗马,1,4,3,4,12
1290,1,lblue,3.58,桑普多利亚,468,127423,特雷维,桑普多,输,5,2.99,1230,2005-09-22 02:30,受半球,2.05,19,特雷维索,2,0,0,4,8
1291,1,lblue,3.77,尤文图斯,1330,127424,乌迪内斯,尤文图斯,输,5,3.00,1276,2005-09-22 02:30,受半球,1.98,9,乌迪内斯,1,0,0,4,1
1292,0,lred,1.37,拉齐奥,964,127425,AC米兰,拉齐奥,赢,5,3.95,210,2005-09-22 02:30,一球/球半,8.21,11,AC米兰,0,2,2,4,3
1293,0,lblue,2.19,利沃诺,1001,127426,梅西纳,利沃诺,输,5,2.89,1118,2005-09-22 02:30,半球,3.36,15,梅西纳,0,0,0,4,5
1294,0,lblue,3.37,佛罗伦萨,803,127427,莱  切,佛罗伦萨,输,5,2.99,972,2005-09-22 02:30,受平手/半球,2.13,17,莱切,3,1,1,4,2
1295,1,lred,2.34,卡利亚里,917,127428,恩波利,卡利亚,赢,5,2.87,788,2005-09-22 02:30,平手/半球,3.06,20,恩波利,1,3,0,4,14
1296,0,lblue,4.81,国际米兰,846,127429,切 沃,国际米兰,输半,5,3.16,1174,2005-09-22 02:30,受半球/一球,1.73,7,切沃,1,0,0,4,6
1297,1,lblue,2.38,锡耶纳,1294,127430,阿斯科,锡耶纳,输半,5,2.86,556,2005-09-22 02:30,平手/半球,3.01,16,阿斯科利,1,1,0,4,13
1298,0,lred,3.31,乌迪内斯,1276,127431,雷吉纳,乌迪内斯,赢,5,2.97,992,2005-09-24 23:59,受平手/半球,2.16,19,雷吉纳,0,2,1,5,11
1299,1,lblue,5.59,尤文图斯,1330,127435,帕尔马,尤文图斯,输半,5,3.27,1149,2005-09-25 02:30,受半球/一球,1.62,13,帕尔马,2,1,1,5,1
1300,1,lblue,1.64,切沃,1174,127432,桑普多,切 沃,输,5,3.23,468,2005-09-25 21:00,半球/一球,5.54,5,桑普多利亚,2,1,0,5,10
1301,1,lred,2.15,梅西纳,1118,127433,锡耶纳,梅西纳,赢,5,2.90,1294,2005-09-25 21:00,平手/半球,3.44,12,锡耶纳,2,4,3,5,14
1302,1,lblue,8.94,AC米兰,210,127434,特雷维,AC米兰,输,5,4.03,1230,2005-09-25 21:00,受球半,1.35,20,特雷维索,2,0,0,5,8
1303,0,lred,1.69,阿斯科利,556,127436,利沃诺,阿斯科,赢,5,3.17,1001,2005-09-25 21:00,半球/一球,5.20,6,利沃诺,0,2,0,5,15
1304,1,lred,2.41,巴勒莫,645,127437,拉齐奥,巴勒莫,赢,5,2.90,964,2005-09-25 21:00,平手,2.94,9,拉齐奥,2,4,0,5,3
1305,0,lred,2.05,莱切,972,127439,恩波利,莱  切,赢,5,3.00,788,2005-09-25 21:00,平手/半球,3.57,16,恩波利,0,1,0,5,19
1306,0,lred,3.45,罗马,1032,127440,卡利亚,罗 马,赢半,5,3.04,917,2005-09-25 21:00,受平手/半球,2.07,18,卡利亚里,0,0,0,5,7
1307,0,lred,1.59,佛罗伦萨,803,127438,国际米兰,佛罗伦萨,赢半,5,3.37,846,2005-09-26 02:30,半球/一球,5.67,7,国际米兰,0,1,1,5,3
1308,0,lblue,1.56,特雷维索,1230,127449,切 沃,特雷维,输,5,3.37,1174,2005-10-01 23:59,半球/一球,6.28,9,切沃,0,0,0,6,20
1309,0,lred,1.92,拉齐奥,964,127444,乌迪内斯,拉齐奥,赢,5,3.02,1276,2005-10-02 02:30,半球,3.92,12,乌迪内斯,0,3,0,6,6
1310,0,lblue,1.18,雷吉纳,992,127441,AC米兰,雷吉纳,输,5,5.60,210,2005-10-02 21:00,球半,13.53,4,AC米兰,1,2,2,6,18
1311,2,lblue,1.52,恩波利,788,127442,巴勒莫,恩波利,输,5,3.46,645,2005-10-02 21:00,一球,6.52,8,巴勒莫,2,2,1,6,13
1312,1,lblue,1.48,锡耶纳,1294,127443,罗 马,锡耶纳,输,5,3.58,1032,2005-10-02 21:00,一球,6.78,10,罗马,3,2,0,6,11
1313,1,lblue,2.72,桑普多利亚,468,127445,梅西纳,桑普多,输,5,2.84,1118,2005-10-02 21:00,平手,2.62,15,梅西纳,4,1,0,6,9
1314,0,lred,2.17,卡利亚里,917,127446,莱  切,卡利亚,赢,5,2.91,972,2005-10-02 21:00,半球,3.36,19,莱切,0,3,2,6,16
1315,0,lred,1.67,利沃诺,1001,127448,佛罗伦萨,利沃诺,赢半,5,3.21,803,2005-10-02 21:00,半球/一球,5.27,5,佛罗伦萨,2,3,2,6,3
1316,1,lred,2.50,帕尔马,1149,127450,阿斯科,帕尔马,赢,5,2.86,556,2005-10-02 21:00,平手,2.82,17,阿斯科利,1,3,2,6,14
1317,0,lred,2.10,国际米兰,846,127447,尤文图斯,国际米兰,赢,5,2.90,1330,2005-10-03 02:30,平手/半球,3.59,1,尤文图斯,0,2,2,6,4
1318,2,lblue,2.63,乌迪内斯,1276,127454,锡耶纳,乌迪内斯,输,5,2.89,1294,2005-10-15 23:59,平手,2.67,9,锡耶纳,3,2,0,7,11
1319,0,lblue,1.19,梅西纳,1118,127456,尤文图斯,梅西纳,输,5,5.51,1330,2005-10-16 02:30,球半,12.94,1,尤文图斯,0,1,1,7,17
1320,2,lblue,1.72,切沃,1174,127451,巴勒莫,切 沃,输,5,3.11,645,2005-10-16 21:00,半球/一球,5.06,8,巴勒莫,2,2,1,7,9
1321,0,lblue,1.66,特雷维索,1230,127452,帕尔马,特雷维,输,5,3.17,1149,2005-10-16 21:00,半球/一球,5.58,16,帕尔马,1,1,1,7,20
1322,0,lred,2.15,莱切,972,127453,雷吉纳,莱  切,赢,5,2.96,992,2005-10-16 21:00,平手/半球,3.36,18,雷吉纳,0,2,1,7,15
1323,0,lred,2.55,佛罗伦萨,803,127455,拉齐奥,佛罗伦萨,赢,5,2.92,964,2005-10-16 21:00,平手,2.70,11,拉齐奥,0,1,0,7,3
1324,0,lred,1.28,利沃诺,1001,127457,国际米兰,利沃诺,赢,5,4.77,846,2005-10-16 21:00,球半,9.86,5,国际米兰,0,5,2,7,7
1325,0,lred,3.32,罗马,1032,127458,恩波利,罗 马,赢,5,3.00,788,2005-10-16 21:00,受半球,2.13,13,恩波利,0,1,0,7,12
1326,0,lred,3.31,桑普多利亚,468,127460,阿斯科,桑普多,赢,5,2.96,556,2005-10-16 21:00,受平手/半球,2.16,14,阿斯科利,1,2,1,7,4
1327,2,lblue,6.27,AC米兰,210,127459,卡利亚,AC米兰,输,5,3.36,917,2005-10-17 02:30,受一球,1.54,18,卡利亚里,2,0,0,7,3
1328,0,lblue,1.94,阿斯科利,556,127466,梅西纳,阿斯科,输,5,3.02,1118,2005-10-22 23:59,半球,3.91,18,梅西纳,1,1,1,8,13
1329,0,lred,1.53,帕尔马,1149,127469,佛罗伦萨,帕尔马,赢,5,3.52,803,2005-10-23 02:30,一球,6.13,4,佛罗伦萨,1,4,3,8,16
1330,0,lblue,1.68,锡耶纳,1294,127462,桑普多,锡耶纳,输,5,3.23,468,2005-10-23 21:00,半球/一球,5.09,6,桑普多利亚,3,3,1,8,11
1331,1,lblue,2.36,恩波利,788,127463,特雷维,恩波利,输,5,2.91,1230,2005-10-23 21:00,平手/半球,3.02,20,特雷维索,2,1,0,8,13
1332,1,lblue,3.38,国际米兰,846,127464,乌迪内斯,国际米兰,输,5,3.00,1276,2005-10-23 21:00,受平手/半球,2.12,8,乌迪内斯,1,0,0,8,3
1333,1,lgreen,1.36,巴勒莫,645,127465,AC米兰,巴勒莫,走盘,5,4.02,210,2005-10-23 21:00,一球,8.19,2,AC米兰,1,2,1,8,7
1334,0,lred,1.84,雷吉纳,992,127467,利沃诺,雷吉纳,赢,5,3.07,1001,2005-10-23 21:00,半球,4.32,10,利沃诺,0,1,0,8,15
1335,1,lblue,6.84,尤文图斯,1330,127468,莱  切,尤文图斯,输,5,3.56,972,2005-10-23 21:00,受一球,1.48,17,莱切,3,0,0,8,1
1336,0,lred,1.73,卡利亚里,917,127470,切 沃,卡利亚,赢,5,3.14,1174,2005-10-23 21:00,半球,4.86,9,切沃,1,2,0,8,19
1337,0,lblue,2.36,拉齐奥,964,127461,罗 马,拉齐奥,输半,5,2.89,1032,2005-10-24 02:30,平手/半球,2.98,14,罗马,1,1,1,8,8
1338,0,lred,1.53,莱切,972,127471,巴勒莫,莱  切,赢,5,3.45,645,2005-10-27 02:30,一球,6.30,10,巴勒莫,0,3,1,9,18
1339,0,lblue,1.89,梅西纳,1118,127472,帕尔马,梅西纳,输,5,3.05,1149,2005-10-27 02:30,半球,4.07,16,帕尔马,1,1,1,9,17
1340,1,lblue,1.78,特雷维索,1230,127473,雷吉纳,特雷维,输,5,3.10,992,2005-10-27 02:30,半球,4.56,15,雷吉纳,2,1,0,9,20
1341,1,lblue,2.84,佛罗伦萨,803,127474,锡耶纳,佛罗伦萨,输,5,2.95,1294,2005-10-27 02:30,平手,2.42,12,锡耶纳,2,0,0,9,4
1342,0,lblue,1.89,切沃,1174,127475,拉齐奥,切 沃,输半,5,3.07,964,2005-10-27 02:30,平手/半球,4.02,6,拉齐奥,2,2,1,9,5
1343,0,lred,1.39,桑普多利亚,468,127476,尤文图斯,桑普多,赢,5,3.85,1330,2005-10-27 02:30,一球,8.01,1,尤文图斯,0,2,1,9,8
1344,2,lblue,1.59,罗马,1032,127477,国际米兰,罗 马,输,5,3.36,846,2005-10-27 02:30,半球/一球,5.70,3,国际米兰,3,2,0,9,14
1345,1,lblue,6.16,AC米兰,210,127478,恩波利,AC米兰,输,5,3.36,788,2005-10-27 02:30,受半球/一球,1.55,9,恩波利,3,1,1,9,2
1346,0,lblue,2.29,利沃诺,1001,127479,卡利亚,利沃诺,输半,5,2.92,917,2005-10-27 02:30,平手/半球,3.11,19,卡利亚里,1,1,0,9,7
1347,0,lred,3.38,乌迪内斯,1276,127480,阿斯科,乌迪内斯,赢,5,2.98,556,2005-10-27 02:30,受半球,2.13,13,阿斯科利,1,1,1,9,11
1348,2,lred,3.17,国际米兰,846,127482,桑普多,国际米兰,赢半,5,2.99,468,2005-10-29 23:59,受平手/半球,2.22,9,桑普多利亚,2,2,2,10,4
1349,0,lred,2.39,尤文图斯,1330,127486,AC米兰,尤文图斯,赢,5,2.85,210,2005-10-30 02:30,平手,3.02,2,AC米兰,1,3,3,10,1
